x_support,feed_curve
0.0,0.0
6.138636455430346,50.78215626948171
12.277272910860692,33.43234607864911
18.41590936629104,33.4484720955687
24.554545821721383,38.31390150821976
30.693182277151728,9.860415309415044
36.83181873258208,4.159563204995786
42.97045518801242,4.436526354516994
49.10909164344277,4.470413931761525
55.24772809887311,4.4713483012644835
61.386364554303455,4.476353833281115
67.5250010097338,4.495674621052464
73.66363746516416,4.48357246066382
79.8022739205945,4.484254743901458
85.94091037602485,4.498781623792427
92.07954683145519,4.488634477819957
98.21818328688553,4.544233017458
104.35681974231588,4.472742888597861
110.49545619774622,4.53079082398097
116.63409265317657,4.499751433995929
122.77272910860691,4.539073684028761
128.91136556403725,4.49909729338192
135.0500020194676,4.498359238967607
141.18863847489794,4.529735621936371
147.32727493032831,4.495707093616986
153.46591138575866,4.5820302861829765
159.604547841189,4.494558338510983
165.74318429661935,4.591111415993676
171.8818207520497,4.492406016405004
178.02045720748004,4.461668515925525
184.15909366291038,14.390560989107286
190.29773011834072,50.778716743552536
196.43636657377107,37.642634126092304
202.5750030292014,57.33565213243687
208.71363948463176,53.062782485089336
214.8522759400621,59.70830562551726
220.99091239549244,81.41100458819447
227.1295488509228,84.7636268032849
233.26818530635313,63.88918662890331
239.40682176178348,46.0501330728564
245.54545821721382,31.574676666009168
251.6840946726442,48.900664266086636
257.8227311280745,30.479200021505196
263.96136758350485,58.518634512900704
270.1000040389352,40.422914610463366
276.23864049436554,24.440953459874557
282.3772769497959,38.10843236250586
288.51591340522623,27.401926690153395
294.65454986065663,32.29448423043633
300.793186316087,18.78314099972771
306.9318227715173,13.981110020294256
313.07045922694766,9.999108857534376
319.209095682378,5.138519246223372
325.34773213780835,9.128037658118842
331.4863685932387,7.7702893738109005
337.62500504866904,4.3142736039764
343.7636415040994,2.8462330377705554
349.9022779595297,2.276284412420214
356.04091441496007,2.125612251160565
362.1795508703904,2.4253876936095784
368.31818732582076,2.922894858069737
374.4568237812511,3.960799989541679
380.59546023668145,4.9652516945592415
386.7340966921118,4.831062323055118
392.87273314754214,14.04865452320423
399.0113696029725,15.683383183575948
405.1500060584028,14.533045976312748
411.28864251383317,8.876239604619528
417.4272789692635,3.516650719743235
423.56591542469386,2.3248754065511736
429.7045518801242,1.978397567126449
435.84318833555454,1.7333088677814006
441.9818247909849,1.6755769342195785
448.12046124641523,1.6625390788271277
454.2590977018456,1.6825518386105482
460.3977341572759,1.6402795599258368
466.53637061270626,1.6310373672309542
472.6750070681366,1.6393001791255257
478.81364352356695,1.6711472646106271
484.9522799789973,2.3934061383312106
491.09091643442764,4.949118441068538
497.22955288985804,5.728685842207444
503.3681893452884,6.183333170724912
509.50682580071873,5.915010537623869
515.645462256149,5.448201438558422
521.7840987115794,4.641281032940547
527.9227351670097,3.3308613652511787
534.0613716224401,1.7889846918965797
540.2000080778704,2.126617659688648
546.3386445333008,3.5903929929871516
552.4772809887311,3.830767694533905
558.6159174441615,4.029386315641162
564.7545538995918,3.7141449145442023
570.8931903550222,4.861532599427302
577.0318268104525,6.142203387268655
583.1704632658829,6.068312630414548
589.3090997213133,5.860829892498187
595.4477361767435,5.817141935744395
601.586372632174,5.649288159600006
607.7250090876042,8.858047932729464
613.8636455430346,10.151632628599117
620.0022819984649,9.493046046121599
626.1409184538953,7.096144390260867
632.2795549093256,6.188484666838421
638.418191364756,6.051432714020919
644.5568278201863,5.87342490307793
650.6954642756167,5.8459538716405435
656.834100731047,5.091039775590755
662.9727371864774,4.063048814925382
669.1113736419077,0.7724882302310419
675.2500100973381,4.97107098856719
681.3886465527684,5.11140748056662
687.5272830081988,5.706952958543591
693.665919463629,5.9249397820881855
699.8045559190595,5.941037598661899
705.9431923744897,5.444788278249351
712.0818288299201,6.241014350348247
718.2204652853504,7.569053829370854
724.3591017407808,10.794082548692275
730.4977381962111,13.310689960470583
736.6363746516415,21.645341120462714
742.7750111070718,8.212533517574863
748.9136475625022,18.609547925603245
755.0522840179325,9.869176665249395
761.1909204733629,6.391662211265674
767.3295569287932,9.358361485533782
773.4681933842236,9.105773666711912
779.6068298396539,5.009370334457398
785.7454662950843,5.573012261219837
791.8841027505147,4.546818083398236
798.022739205945,3.7846577350210615
804.1613756613754,4.390575006738737
810.3000121168056,4.825028514176745
816.438648572236,6.248559664699641
822.5772850276663,10.413817492689265
828.7159214830967,5.275144629602022
834.854557938527,4.042032888450533
840.9931943939574,8.019349422554969
847.1318308493877,15.184097833862115
853.2704673048181,51.10790994285711
859.4091037602484,19.904453902503253
865.5477402156788,35.66889763347918
871.6863766711091,19.48959406973089
877.8250131265395,31.258615573615444
883.9636495819698,0.0
