Time,Position along path,x tool center WP,y tool center WP,x milling force WP,y milling force WP,z milling force WP
0.0,0.0,5.0,-190.0,0.0,0.0,0.0
0.0001,0.01,4.999852474931326,-189.99000106357713,0.0,0.0,0.0
0.0002,0.02,4.999705019256612,-189.98000212629248,0.0,0.0,0.0
0.00030000000000000003,0.03,4.999557632980776,-189.97000318814568,0.0,0.0,0.0
0.0004,0.04,4.9994103161088255,-189.96000424913626,0.0,0.0,0.0
0.0005,0.05,4.999263068645855,-189.95000530926376,0.0,0.0,0.0
0.0006000000000000001,0.060000000000000005,4.999115890597056,-189.94000636852806,0.0,0.0,0.0
0.0007,0.07,4.998968781967692,-189.93000742692848,0.0,0.0,0.0
0.0008,0.08,4.99882174276312,-189.92000848446472,0.0,0.0,0.0
0.0009000000000000001,0.09,4.998674772988785,-189.91000954113642,0.0,0.0,0.0
0.001,0.09999999999999999,4.998527872650221,-189.9000105969431,0.0,0.0,0.0
0.0011,0.10999999999999999,4.998381041753045,-189.89001165188446,0.0,0.0,0.0
0.0012000000000000001,0.11999999999999998,4.998234280302957,-189.88001270595996,0.0,0.0,0.0
0.0013000000000000002,0.12999999999999998,4.998087588305749,-189.87001375916915,0.0,0.0,0.0
0.0014,0.13999999999999999,4.997940965767306,-189.86001481151183,0.0,0.0,0.0
0.0015,0.15,4.997794412693584,-189.85001586298762,0.0,0.0,0.0
0.0016,0.16,4.997647929090639,-189.840016913596,0.0,0.0,0.0
0.0017000000000000001,0.17,4.997501514964601,-189.83001796333662,0.0,0.0,0.0
0.0018000000000000002,0.18000000000000002,4.997355170321701,-189.82001901220912,0.0,0.0,0.0
0.0019,0.19000000000000003,4.997208895168236,-189.81002006021296,0.0,0.0,0.0
0.002,0.20000000000000004,4.997062689510611,-189.80002110734804,0.0,0.0,0.0
0.0021000000000000003,0.21000000000000005,4.996916553355294,-189.79002215361353,0.0,0.0,0.0
0.0022,0.22000000000000006,4.996770486708861,-189.78002319900955,0.0,0.0,0.0
0.0023,0.23000000000000007,4.996624489577959,-189.77002424353543,0.0,0.0,0.0
0.0024000000000000002,0.24000000000000007,4.996478561969322,-189.7600252871909,0.0,0.0,0.0
0.0025,0.25000000000000006,4.996332703889773,-189.75002632997547,0.0,0.0,0.0
0.0026000000000000003,0.26000000000000006,4.996186915346218,-189.74002737188883,0.0,0.0,0.0
0.0027,0.2700000000000001,4.996041196345651,-189.73002841293064,0.0,0.0,0.0
0.0028,0.2800000000000001,4.995895546895141,-189.72002945310027,0.0,0.0,0.0
0.0029000000000000002,0.2900000000000001,4.995749967001852,-189.7100304923976,0.0,0.0,0.0
0.003,0.3000000000000001,4.995604456673037,-189.70003153082234,0.0,0.0,0.0
0.0031000000000000003,0.3100000000000001,4.995459015916017,-189.69003256837385,0.0,0.0,0.0
0.0032,0.3200000000000001,4.995313644738211,-189.68003360505193,0.0,0.0,0.0
0.0033,0.3300000000000001,4.995168343147118,-189.6700346408562,0.0,0.0,0.0
0.0034000000000000002,0.34000000000000014,4.995023111150321,-189.66003567578616,0.0,0.0,0.0
0.0035,0.35000000000000014,4.994877948755485,-189.65003670984163,0.0,0.0,0.0
0.0036000000000000003,0.36000000000000015,4.994732855970364,-189.6400377430221,0.0,0.0,0.0
0.0037,0.37000000000000016,4.99458783280279,-189.63003877532717,0.0,0.0,0.0
0.0038,0.38000000000000017,4.994442879260688,-189.6200398067567,0.0,0.0,0.0
0.0039000000000000003,0.3900000000000002,4.994297995352056,-189.6100408373101,0.0,0.0,0.0
0.004,0.4000000000000002,4.994153181084982,-189.60004186698717,0.0,0.0,0.0
0.0041,0.4100000000000002,4.994008436467637,-189.59004289578738,0.0,0.0,0.0
0.004200000000000001,0.4200000000000002,4.993863761508271,-189.58004392371052,0.0,0.0,0.0
0.0043,0.4300000000000002,4.993719156215223,-189.5700449507562,0.0,0.0,0.0
0.0044,0.4400000000000002,4.9935746205969105,-189.56004597692404,0.0,0.0,0.0
0.0045000000000000005,0.45000000000000023,4.993430154661836,-189.55004700221355,0.0,0.0,0.0
0.0046,0.46000000000000024,4.993285758418589,-189.54004802662467,0.0,0.0,0.0
0.0047,0.47000000000000025,4.993141431875831,-189.53004905015683,0.0,0.0,0.0
0.0048000000000000004,0.48000000000000026,4.992997175042318,-189.52005007280977,0.0,0.0,0.0
0.0049,0.49000000000000027,4.992852987926884,-189.51005109458313,0.0,0.0,0.0
0.005,0.5000000000000002,4.992708870538441,-189.5000521154765,0.0,0.0,0.0
0.0051,0.5100000000000002,4.992564822885988,-189.49005313548955,0.0,0.0,0.0
0.005200000000000001,0.5200000000000002,4.992420844978609,-189.4800541546221,0.0,0.0,0.0
0.0053,0.5300000000000002,4.992276936825458,-189.47005517287343,0.0,0.0,0.0
