,x,y
0,5.0,-190.0
1,4.9290704494111575,-184.4358098162151
2,4.887913796600348,-179.56782215382205
3,4.8712760007832125,-175.2653102492809
4,4.873903021175391,-171.39754733905184
5,4.890540816992528,-167.83380665959504
6,4.915935347450262,-164.4433614473706
7,4.944832571764234,-161.0954849388387
8,4.971978449150087,-157.65945037045952
9,4.992118938823461,-154.0045309786932
10,5.0,-150.0
11,5.0,-145.2256987645034
12,5.0,-140.3566597760054
13,5.0,-135.4096014615062
14,5.0,-130.40124224800604
15,5.0,-125.34830056250526
16,5.0,-120.26749483200405
17,5.0,-115.17554348350265
18,5.0,-110.08916494400137
19,5.0,-105.0250776405004
20,5.0,-100.0
21,5.0,-94.99999999999999
22,5.0,-90.0
23,5.0,-85.0
24,5.0,-80.0
25,5.0,-75.0
26,5.0,-70.0
27,5.0,-64.99999999999999
28,5.0,-60.000000000000014
29,5.0,-55.0
30,5.0,-50.0
31,5.0,-44.76622776601683
32,5.0,-39.16880983472653
33,5.0,-33.363594362117865
34,5.0,-27.506429504179607
35,5.0,-21.753163416900527
36,5.0,-16.259644256269407
37,5.0,-11.181720178275015
38,5.0,-6.6752393389061435
39,5.0,-2.8960498941515347
40,5.0,0.0
41,5.003257712297121,0.6965757603910847
42,5.011582977056429,1.2833409543093455
43,5.022803986079845,1.7850932308161656
44,5.034748931169288,2.2266302389729344
45,5.045246004126677,2.6327496278410356
46,5.052123396753932,3.028249046481851
47,5.053209300852972,3.4379261439567737
48,5.046331908225717,3.88657856932718
49,5.029319410674086,4.399003971654463
50,5.0,5.0
51,4.976056437236226,6.399282057813724
52,5.016201806922225,8.065099816758426
53,5.081731389619648,9.930895550758851
54,5.133940465890143,11.930111533739733
55,5.13412431629536,13.996190039625809
56,5.043578221396949,16.062573342341825
57,4.823597461756556,18.062703715812503
58,4.4354773179358356,19.93002343396261
59,3.8405130704964323,21.597974770716856
60,3.0,23.0
61,1.786127548727419,24.280815318931737
62,0.2510754250944195,25.475663320156453
63,-1.5418912894911267,26.568380471236644
64,-3.5295075136213434,27.542803239734795
65,-5.648508165888367,28.382768093213382
66,-7.835628164884323,29.072111499234907
67,-10.027602429201329,29.594669925361835
68,-12.161165877431529,29.934279839156673
69,-14.17305342816704,30.074777708181895
70,-16.0,30.0
71,-17.596850680607066,29.707882273372885
72,-19.25449454729032,29.19378439184753
73,-20.93372993188729,28.490292057396363
74,-22.595355166235457,27.629990971991834
75,-24.200168582172346,26.645466837606353
76,-25.708968511535442,25.569305356212368
77,-27.08255328616225,24.43409222978231
78,-28.281721237890277,23.2724131602886
79,-29.267270698557024,22.11685384970369
80,-30.0,21.0
81,-30.39155356826292,20.162538280052242
82,-30.69418229572183,19.260875810198165
83,-30.908603533656326,18.313876348314945
84,-31.035534633345996,17.34040365227977
85,-31.075692946070443,16.359321479969832
86,-31.029795823109254,15.389493589262305
87,-30.89856061574202,14.44978373803437
88,-30.68270467524834,13.559055684163223
89,-30.3829453529078,12.736173185526036
90,-30.0,12.0
91,-29.446015296464648,11.265949072862572
92,-28.74248819342287,10.592114097178287
93,-27.90832914931749,9.975418335080327
94,-26.962448622591396,9.412785048701895
95,-25.92375707168744,8.901137500176175
96,-24.81116495504849,8.43739895163636
97,-23.643582731117405,8.018492665215643
98,-22.439920858337057,7.641341903047216
99,-21.2190897951503,7.302869927264272
100,-20.0,7.0
101,-18.30700374514139,6.685561095359453
102,-16.485030817517195,6.4942283220145764
103,-14.556863823986076,6.406040122782875
104,-12.545285371406662,6.40103494048185
105,-10.473078066637596,6.459251217929001
106,-8.363024516537525,6.560727397941832
107,-6.23790732796509,6.685501923337847
108,-4.120509107778931,6.813613236934544
109,-2.033612462837686,6.925099781549427
110,0.0,7.0
111,2.0316923938858165,7.075854546586945
112,4.111684691466885,7.194174467776983
113,6.219223396033674,7.341047369211706
114,8.333555010876635,7.502560856532712
115,10.433926039286241,7.664802535381593
116,12.499582984552948,7.813860011399948
117,14.509772349967216,7.935820890229371
118,16.443740638819502,8.016772777511457
119,18.280734354400277,8.042803278887801
120,20.0,8.0
121,21.141593243322475,7.913102222548591
122,22.223478104615605,7.7774332846751975
123,23.25624579019685,7.606023852992344
124,24.250487506383674,7.411904594112563
125,25.216794459493553,7.20810617464838
126,26.16575785584395,7.0076592612123285
127,27.10796890175232,6.823594520416934
128,28.054018803536145,6.6689426188747305
129,29.01449876751288,6.556734223198242
130,30.0,6.5
131,30.979759682009675,6.518576401933964
132,31.930486925384304,6.609818491764104
133,32.86475558777787,6.753261936368192
134,33.79513952684441,6.928442402623998
135,34.7342126002379,7.114895557409291
136,35.69454866561236,7.29215706760184
137,36.688721580621795,7.439762600079417
138,37.72930520292021,7.537247821719789
139,38.82887339016161,7.564148399400726
140,40.0,7.5
141,42.082832319007224,7.156986613399315
142,44.39392948310346,6.547443550030914
143,46.8824561487964,5.737403887566077
144,49.49757697259371,4.792900703676092
145,52.18845661100312,3.779967076032243
146,54.90425972053224,2.7646360823058154
147,57.594150957688825,1.8129408001680938
148,60.20729497898051,0.9909143072903608
149,62.692856440915,0.3645896813439017
150,65.0,0.0
151,66.67725728359235,-0.11222523907823116
152,68.35393270048748,-0.13492405275614286
153,70.01547301039746,-0.07981674730233562
154,71.64732497303437,0.04137637101459006
155,73.23493534811035,0.21693499592603388
156,74.76375089533752,0.43513882116339436
157,76.21921837442797,0.6842675404580719
158,77.58678454509378,0.9526008475414653
159,78.8518961670471,1.228418436144975
160,80.0,1.5
161,80.61539839851523,1.6731273569830574
162,81.172961628194,1.8705012516167423
163,81.68476134414041,2.0852686192001464
164,82.1628692014585,2.310576395032366
165,82.61935685525233,2.539571514412492
166,83.066295960626,2.7654009126396195
167,83.51575817268352,2.981211525012841
168,83.97981514652899,3.180150286831249
169,84.47053853726646,3.355364133393937
170,85.0,3.5
171,85.64734638900723,3.6390264054427384
172,86.32299312923779,3.7644573705254865
173,87.02071538989901,3.8739723182630112
174,87.73428834019823,3.9652506716700815
175,88.4574871493427,4.035971853761467
176,89.18408698653974,4.083815287551934
177,89.90786302099671,4.106460396056253
178,90.62259042192088,4.101586602289191
179,91.32204435851955,4.066873329265517
180,92.0,4.0
181,92.6262780144043,3.909725510068673
182,93.24315476581995,3.7973091510657246
183,93.85196589333398,3.6619103313872907
184,94.4540470360335,3.502688459429507
185,95.0507338330055,3.3188029435885062
186,95.64336192333704,3.1094131922604262
187,96.23326694611524,2.8736786138414
188,96.82178454042706,2.610758616727564
189,97.41025034535966,2.3198126093150524
190,98.0,2.0
191,98.73904189005026,1.580458548460165
192,99.51744352026776,1.1278642900272613
193,100.31719149725237,0.63957381491451
194,101.12027242760377,0.11294371333513169
195,101.90867291792165,-0.4546694244976562
196,102.66437957480585,-1.06590900837063
197,103.369379004856,-1.7234184480705708
198,104.00565781467192,-2.4298411533842605
199,104.55520261085334,-3.187820534098478
200,105.0,-4.0
201,105.43554652761517,-5.134871207583192
202,105.78672739050198,-6.440819226507805
203,106.04888416896559,-7.8757843185555405
204,106.21735844331127,-9.397706745508094
205,106.28749179384421,-10.964526769147174
206,106.2546258008696,-12.534184651254481
207,106.11410204469266,-14.064620653611717
208,105.86126210561861,-15.513775038000581
209,105.49144756395265,-16.839588066202772
210,105.0,-18.0
211,104.4186468362459,-18.958242558576615
212,103.71592819106678,-19.849033623435876
213,102.90246888364322,-20.67614729150709
214,101.98889373315578,-21.443357659719524
215,100.98582755878502,-22.154438825002483
216,99.90389517971141,-22.813164884285243
217,98.75372141511556,-23.42330993449708
218,97.54593108417802,-23.988648072567297
219,96.29114900607932,-24.51295339542518
220,95.0,-25.0
221,93.01932155495744,-25.587984016148553
222,90.84122063336191,-26.02232989402861
223,88.49645386767433,-26.328319934145153
224,86.0157778903556,-26.531236437003137
225,83.42994933386662,-26.65636170310755
226,80.76972483066831,-26.72897803296336
227,78.06586101322156,-26.774367727075536
228,75.34911451398735,-26.817813085949055
229,72.65024196542653,-26.884596410088882
230,70.0,-27.0
231,66.89753506127064,-27.102001583108912
232,63.41416960043332,-27.107809734877762
233,59.70128005817264,-27.05333019346667
234,55.910242875173196,-26.97446869703575
235,52.192434492119574,-26.90713098374511
236,48.69923134969639,-26.88722279175485
237,45.58200988858825,-26.950649859225102
238,42.99214654947973,-27.13331792431597
239,41.08101777305544,-27.471132725187566
240,40.0,-28.0
241,39.86045542438744,-28.175813702871945
242,39.758046620911976,-28.371184475311757
243,39.69047638965657,-28.58079394099215
244,39.6554475307042,-28.79932372358585
245,39.65066284413784,-29.02145544676558
246,39.67382513004044,-29.241870734204063
247,39.722637188494986,-29.45525120957403
248,39.79480181958445,-29.656278496548182
249,39.888021823391796,-29.83963421879927
250,40.0,-30.0
251,40.229019618239484,-30.20992582362788
252,40.52843304868838,-30.375048784389314
253,40.89442431024815,-30.50300947055686
254,41.323177421820354,-30.60144847040314
255,41.810876402306505,-30.678006372200755
256,42.35370527060814,-30.74032376422231
257,42.94784804562677,-30.796041234740407
258,43.58948874626395,-30.852799372027654
259,44.2748113914212,-30.918238764356655
260,45.0,-31.0
261,47.59396295445128,-31.17908677389432
262,51.06524239850821,-31.230999193235053
263,55.20201440236437,-31.20517040982192
264,59.79245503621341,-31.151033575454683
265,64.62474037024893,-31.118021841933064
266,69.48704647466452,-31.155568361056794
267,74.16754941965381,-31.31310628462562
268,78.45442527541041,-31.640068764439278
269,82.13585011212793,-32.18588895229748
270,85.0,-33.0
271,86.17432188555846,-33.52099504758342
272,87.24503103509787,-34.08830168568202
273,88.2197887341622,-34.69947014722064
274,89.10625626829531,-35.35205066512417
275,89.91209492304122,-36.043593472317426
276,90.64496598394385,-36.77164880172529
277,91.31253073654707,-37.53376688627263
278,91.92245046639492,-38.3274979588843
279,92.48238645903122,-39.15039225248511
280,93.0,-40.0
